country,director,genre,imdb_rating,title,year
Россия,Никита Михалков,"психологический
триллер
юридический
детектив
драма
артхаус",7.6,«12»,2007
Россия,Александр Баршак,комедия,4.2,12 месяцев,2013
Франция,Филипп Годо,драма,5.7,11.6,2013
"США
Германия",Джоэл Шумахер,"триллер
криминал",6.6,8 миллиметров,1999
Испания,,Романтическая кинокомедия,6.0,8 свиданий,2008
"США
Иран
Франция
Израиль
Буркина-Фасо
Индия
Япония
Босния и Герцеговина
Египет
Мексика
Великобритания","Самира Махмальбаф
Клод Лелуш
Юсеф Шахин
Данис Танович
Идрисса Одрраого
Кен Лоуч
Алехандро Гонсалес Инарриту
Амос Гитай
Мира Наир
Шон Пенн
Сёхэй Имамура","драма
исторический
киноальманах",6.9,11 сентября,2002
США,Сидни Люмет,"юридическая
драма",9.0,12 разгневанных мужчин,1957
США,Гэри Росс,"кинокомедия
криминальный фильм",6.3,8 подруг Оушена,2018
"Франция
Италия",Франсуа Озон,"мюзикл
комедия
детектив",7.0,8 женщин,2002
"Великобритания
США",Сэм Мендес,шпионский фильм,6.8,007: Спектр,2015
Испания,Начо Вигалондо,"короткометражный
музыкальный",7.3,7:35 утра,"21 ноября   2003 ,  12 марта   2004 ,  17 мая   2009  и  29 октября   2010"
Россия,Григорий Константинопольский,комедийный фильм,6.3,8 ½ $,1999
Россия,Владимир Потапов,"боевик
драма",5.5,Ноль-седьмой меняет курс,2007
"Великобритания
США",Сэм Мендес,шпионский фильм,7.8,007: Координаты «Скайфолл»,2012
"Россия
Украина","Дэвид Додсон
Александр Маляревский",комедия,6.0,8 первых свиданий,2012
США,Терри Гиллиам,"фантастика
триллер
драма
антиутопия",8.0,12 обезьян,1995
"Россия
Украина",Марюс Вайсберг,"комедия
мелодрама",3.9,8 лучших свиданий,2016
"США
Испания",Даррен Линн Боусман,фильм ужасов о сверхъестественном,3.9,11-11-11,1 ноября   2011
Парагвай,"Хуан Карлос Манелья
Тана Шембори","триллер
криминал",7.1,7 ящиков,2012
Россия,Вадим Соколовский,"комедия
мелодрама",1.5,7 главных желаний,2013
Казахстан,Аскар Узабаев,комедийный фильм,,5 причин не влюбиться в казаха,2017
США,Брэд Силберлинг,комедийная драма,6.5,10 шагов к успеху,2006
"США
Германия
Чехия",Себастьян Ниман,"драма
фильм ужасов
триллер",5.1,7 дней до смерти,2000
Франция,Франсуа Озон,"мелодрама
драма",6.6,5×2,2004
"США
Румыния
Швейцария
Великобритания",Саймон Феллоуз,боевик,4.8,7 секунд,28 июня   2005  и  12 сентября   2005
США,Дж. Блэйксон,"постапокалиптика
научная фантастика",5.2,5-я волна,2016
"Великобритания
Новая Зеландия",Тоа Фрейзер,"боевик
триллер",6.2,6 дней,2017
США,Джон Форд,драма,6.7,7 женщин,1966
США,Роджер Споттисвуд,киберпанк,5.9,6-й день,2000
Великобритания,Саймон Кёртис,"драма
биография",6.9,7 дней и ночей с Мэрилин,2011
США,Симон Бранд,триллер,6.4,5 неизвестных...,2006
Украина,Алиса Павловская,"драма
триллер
биография",7.3,5 терапия,2017
"Израиль
ПНА
Франция
Нидерланды",,документальный фильм,7.9,5 разбитых камер,2011
